Samples;Antagonism
Stu_3;2
Stu_3;8.4
Stu_3;1.908396947
Stu_3;0
Stu_3;35.25179856
Stu_3;0
Stu_5;2
Stu_5;3.6
Stu_5;5.72519084
Stu_5;8.015267176
Stu_5;6.474820144
Stu_5;10.07194245
Stu_2;22
Stu_2;8.4
Stu_2;13.35877863
Stu_2;42.7480916
Stu_2;0
Stu_2;5.035971223
Stu_4;1
Stu_4;21.6
Stu_4;11.45038168
Stu_4;34.73282443
Stu_4;56.11510791
Stu_4;0
Bat_2;54
Bat_2;52
Bat_2;55.34351145
Bat_2;30.53435115
Bat_2;36.69064748
Bat_2;35.97122302
Bat_1;80
Bat_1;85
Bat_1;45.80152672
Bat_1;11.45038168
Bat_1;48.56115108
Bat_1;66.18705036
Stu_6;22
Stu_6;33.6
Stu_6;26.71755725
Stu_6;9.160305344
Stu_6;4.316546763
Stu_6;0
Water;102
Water;90
Water;108.778626
Water;69.0647482
Water;66.90647482
Rov_2;13
Rov_2;8.4
Rov_2;68.70229008
Rov_2;54.96183206
Rov_2;49.64028777
Rov_2;8.633093525
Rov_3;7.2
Rov_3;28.8
Rov_3;50.38167939
Rov_3;61.06870229
Rov_3;25.89928058
Rov_3;31.65467626
Bat_3;68
Bat_3;31
Bat_3;64.1221374
Bat_3;93.51145038
Bat_3;88.48920863
Bat_3;52.15827338
Stu_7;10
Stu_7;25
Stu_7;7.633587786
Stu_7;9.541984733
Stu_7;34.5323741
Stu_7;0
Stu_1;3
Stu_1;4.8
Stu_1;15
Stu_1;49.61832061
Stu_1;46.76258993
Stu_1;0
Rov_1;8
Rov_1;2.4
Rov_1;10.6870229
Rov_1;29.77099237
Rov_1;0
Rov_1;0
