Samples;Location;Antagonism;Total Carbon;Total Nitrogen;Available Phosphorus;CEC;Exchange AI;pH;Clay;Silt;Sand;Enrichment index;Structure index
Bat_1;Battambang;Low antagonism;1.48;0.12;31;12.5;0.36;4.32;6.1;42.11;51.76;33;40
Bat_2;Battambang;Low antagonism;1.57;0.14;31;13;0.48;4.82;13.25;44.73;41.07;47;74
Bat_3;Battambang;Low antagonism;1.6;0.14;28;18.6;0.48;5.43;22.85;41.78;35.35;28;90
Rov_1;Rovieng;High antagonism;1.63;0.14;29;10.5;0.8;5.44;7.6;48.63;47.43;30;41
Rov_2;Rovieng;Low antagonism;1.59;0.14;28;12;0.56;4.62;8.9;35.93;54.51;20;79
Rov_3;Rovieng;Low antagonism;1.92;0.17;27;14.5;0.44;4.67;10.65;36.2;52.05;35;84
Stu_1;Stung Chinit;High antagonism;1.39;0.12;32;9.3;0.72;4.41;4.75;22.97;72.87;43;97
Stu_2;Stung Chinit;High antagonism;1.34;0.12;54;10.7;0.72;4.01;2.05;30.08;68.11;10;86
Stu_3;Stung Chinit;High antagonism;1.87;0.17;46;11;0.64;4.02;5.4;37.83;56.07;13;39
Stu_4;Stung Chinit;High antagonism;2.2;0.19;52;11.5;0.48;4.13;2.95;20.51;75.92;80;56
Stu_5;Stung Chinit;High antagonism;2.44;0.2;40;13;0.56;4.22;2.2;19.29;55.07;38;62
Stu_6;Stung Chinit;High antagonism;1.86;0.17;53;9.5;0.52;4.36;2.1;29.19;68.36;28;80
Stu_7;Stung Chinit;High antagonism;1.78;0.17;40;10.5;0.48;4.39;3.35;38.4;58.73;7;93
